Indicator Name,Year,Value,Group
"Population ages 20-24, female (% of female population)",1961,31610412.0,Demographics
"Population ages 25-29, female (% of female population)",1961,11.53784784,Demographics
"Population ages 30-34, female (% of female population)",1961,16.9,Demographics
"Population ages 35-39, female (% of female population)",1961,,Demographics
"Population ages 40-44, female (% of female population)",1961,27407991.0,Demographics
"Population ages 45-49, female (% of female population)",1961,13564196.0,Demographics
"Population ages 50-54, female (% of female population)",1961,65.95265,Demographics
"Population ages 55-59, female (% of female population)",1961,5.846556981,Demographics
"Population ages 60-64, female (% of female population)",1961,6.506160797,Demographics
"Population ages 65-69, female (% of female population)",1961,68.35195122,Demographics
"Population ages 70-74, female (% of female population)",1961,,Demographics
"Population ages 75-79, female (% of female population)",1961,24.9,Demographics
"Population ages 80 and above, female (% of female population)",1961,,Demographics
Dependancy,1961,,Other Health Indicators
"Population ages 65 and above, female (% of female population)",1961,,Demographics
"Age dependency ratio, old (% of working-age population)",1961,,Demographics
"Population ages 0-14, female",1961,,Demographics
"Population ages 0-14, male (% of male population)",1961,,Demographics
"Population ages 0-14, total",1961,,Demographics
"Population ages 15-64, female",1961,,Demographics
"Population ages 15-64, male (% of male population)",1961,1.20110796,Demographics
"Population ages 15-64, total",1961,5498979.0,Demographics
Population ages 65 and above (% of total population),1961,3143664.0,Demographics
"Population ages 65 and above, female",1961,3.285199032,Demographics
"Population ages 65 and above, male",1961,4.741303836,Demographics
"Population ages 65 and above, total",1961,5.881151924,Demographics
"Survival to age 65, male (% of cohort)",1961,8.009204138,Longevity
"Life expectancy at birth, total (years)",1961,9.075131914,Longevity
"Mortality rate, infant, female (per 1,000 live births)",1961,9.375317299,Mortality
"Birth rate, crude (per 1,000 people)",1961,8.718354981,Other Health Indicators
Vitamin A supplementation coverage rate (% of children ages 6-59 months),1961,7.816398227,Other Health Indicators
Prevalence of undernourishment (% of population),1961,1.96,Demographics
Prevalence of severe food insecurity in the population (%),1961,30.8,Demographics
"Domestic private health expenditure per capita, PPP (current international $)",1961,142.242,Healthcare
External health expenditure per capita (current US$),1961,,Healthcare
"External health expenditure per capita, PPP (current international $)",1961,,Healthcare
Current health expenditure per capita (current US$),1961,,Healthcare
Completeness of birth registration (%),1961,,Other Health Indicators
"Completeness of birth registration, female (%)",1961,,Other Health Indicators
"Fertility rate, total (births per woman)",1961,,Other Health Indicators
"Mortality rate, infant, male (per 1,000 live births)",1961,,Mortality
"Mortality rate, adult, female (per 1,000 female adults)",1961,,Mortality
"Tuberculosis case detection rate (%, all forms)",1961,,Other Health Indicators
"Prevalence of severe wasting, weight for height, female (% of children under 5)",1961,,Other Health Indicators
"Suicide mortality rate, female (per 100,000 female population)",1961,,Demographics
"Prevalence of stunting, height for age, female (modeled estimate, % of children under 5)",1961,,Other Health Indicators
"Prevalence of overweight, weight for height, female (modeled estimate, % of children under 5)",1961,,Other Health Indicators
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),1961,,Other Health Indicators
"Maternal mortality ratio (national estimate, per 100,000 live births)",1961,,Mortality
"Prevalence of underweight, weight for age, female (% of children under 5)",1961,,Other Health Indicators
Exclusive breastfeeding (% of children under 6 months),1961,,Other Health Indicators
"Prevalence of current tobacco use, males (% of male adults)",1961,,Other Health Indicators
Lifetime risk of maternal death (%),1961,,Mortality
Use of insecticide-treated bed nets (% of under-5 population),1961,,Demographics
"Nurses and midwives (per 1,000 people)",1961,,Healthcare
"Immunization, DPT (% of children ages 12-23 months)",1961,60019.0,Other Health Indicators
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1961,,Demographics
Children (ages 0-14) newly infected with HIV,1961,,Other Health Indicators
"Prevalence of HIV, female (% ages 15-24)",1961,,Other Health Indicators
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),1961,,Other Health Indicators
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",1961,,Mortality
"Prevalence of HIV, total (% of population ages 15-49)",1961,,Demographics
"Probability of dying among adolescents ages 10-14 years (per 1,000)",1961,,Mortality
Number of under-five deaths,1961,,Mortality
Number of deaths ages 20-24 years,1961,,Mortality
Prevalence of anemia among women of reproductive age (% of women ages 15-49),1961,,Other Health Indicators
"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",1961,,Other Health Indicators
"Prevalence of overweight, weight for height (modeled estimate, % of children under 5)",1961,,Other Health Indicators
"Prevalence of overweight, weight for height, female (% of children under 5)",1961,32.5,Other Health Indicators
"Prevalence of underweight, weight for age (% of children under 5)",1961,,Other Health Indicators
Low-birthweight babies (% of births),1961,,Other Health Indicators
Prevalence of current tobacco use (% of adults),1961,45982.0,Other Health Indicators
Number of maternal deaths,1961,,Mortality
"Specialist surgical workforce (per 100,000 population)",1961,,Demographics
"Hospital beds (per 1,000 people)",1961,53.81525783,Healthcare
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",1961,76.422627,Mortality
"Mortality rate, under-5, female (per 1,000 live births)",1961,70.79,Mortality
"Probability of dying among youth ages 20-24 years (per 1,000)",1961,,Mortality
Number of neonatal deaths,1961,211.046,Mortality
Number of infant deaths,1961,,Mortality
Number of deaths ages 10-14 years,1961,,Mortality
Prevalence of anemia among non-pregnant women (% of women ages 15-49),1961,,Other Health Indicators
Age dependency ratio (% of working-age population),1961,,Demographics
"Survival to age 65, female (% of cohort)",1961,,Longevity
"Life expectancy at birth, female (years)",1961,,Longevity
